ФИО,Учитель,Школа,Класс,Параллель,Сектор,Статус,Задание,Топик,Сложность,Балл,Макс,Уровень_ученика
Кямран Мамедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,1,Числа и счёт,1,0,1,удовлетворительный
Кямран Мамедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,2,Сравнение чисел,1,1,1,удовлетворительный
Кямран Мамедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,3,Сложение в пределах 100,2,0,2,удовлетворительный
Кямран Мамедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,4,Вычитание в пределах 100,2,2,2,удовлетворительный
Кямран Мамедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,5,Разрядный состав числа,2,2,2,удовлетворительный
Кямран Мамедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,6,Сложение с переходом через десяток,2,1,2,удовлетворительный
Кямран Мамедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,7,Вычитание с переходом через десяток,2,0,2,удовлетворительный
Кямран Мамедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,8,Таблица умножения,2,1,2,удовлетворительный
Кямран Мамедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,9,Деление,2,1,2,удовлетворительный
Кямран Мамедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,10,Порядок действий,2,2,2,удовлетворительный
Кямран Мамедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,11,Текстовая задача,2,2,2,удовлетворительный
Кямран Мамедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,12,Составная задача (2 действия),3,2,3,удовлетворительный
Кямран Мамедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,13,Геометрические фигуры,1,2,2,удовлетворительный
Кямран Мамедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,14,Периметр,3,0,2,удовлетворительный
Кямран Мамедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,15,Единицы измерения,2,1,2,удовлетворительный
Кямран Мамедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,16,Логическая задача,3,1,2,удовлетворительный
Хаяла Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,1,Числа и счёт,1,1,1,удовлетворительный
Хаяла Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,2,Сравнение чисел,1,1,1,удовлетворительный
Хаяла Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,3,Сложение в пределах 100,2,1,2,удовлетворительный
Хаяла Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,4,Вычитание в пределах 100,2,2,2,удовлетворительный
Хаяла Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,5,Разрядный состав числа,2,1,2,удовлетворительный
Хаяла Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,6,Сложение с переходом через десяток,2,1,2,удовлетворительный
Хаяла Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,7,Вычитание с переходом через десяток,2,2,2,удовлетворительный
Хаяла Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,8,Таблица умножения,2,2,2,удовлетворительный
Хаяла Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,9,Деление,2,2,2,удовлетворительный
Хаяла Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,10,Порядок действий,2,2,2,удовлетворительный
Хаяла Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,11,Текстовая задача,2,0,2,удовлетворительный
Хаяла Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,12,Составная задача (2 действия),3,0,3,удовлетворительный
Хаяла Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,13,Геометрические фигуры,1,1,2,удовлетворительный
Хаяла Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,14,Периметр,3,2,2,удовлетворительный
Хаяла Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,15,Единицы измерения,2,1,2,удовлетворительный
Хаяла Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,16,Логическая задача,3,1,2,удовлетворительный
